C10_WGSerr_r0,C11_WGSerr_r0,C12_WGSerr_r0,C13_WGSerr_r0,C14_WGSerr_r0,C15_WGSerr_r0,C16_WGSerr_r0,C17_WGSerr_r0,C18_WGSerr_r0,C19_WGSerr_r0,C1_WGSerr_r0,C20_WGSerr_r0,C2_WGSerr_r0,C3_WGSerr_r0,C4_WGSerr_r0,C5_WGSerr_r0,C6_WGSerr_r0,C7_WGSerr_r0,C8_WGSerr_r0,C9_WGSerr_r0
bench_rank1,0.35,0.5,0.35,0.6,0.35,0.4,0.35,0.35,0.3,0.8,0.35,0.6,0.4,0.35,0.5,0.3,0.45,0.55,0.6,0.45
bench_rank2,0.3,0.3,0.3,0.2,0.35,0.35,0.3,0.3,0.3,0.1,0.35,0.2,0.25,0.35,0.25,0.3,0.25,0.2,0.2,0.25
bench_rank3,0.3,0.15,0.25,0.15,0.15,0.15,0.2,0.2,0.25,0.05,0.2,0.15,0.2,0.15,0.15,0.2,0.15,0.15,0.1,0.15
bench_rank4,0.05,0.05,0.1,0.05,0.15,0.1,0.15,0.15,0.15,0.05,0.1,0.05,0.15,0.15,0.1,0.2,0.15,0.1,0.1,0.15
bench_rank5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
predict_rank1,0.387014130002104,0.543886521539361,0.373921094083161,0.772150796244552,0.429046601463116,0.523412623708995,0.396204672061907,0.367444612253669,0.363545408405617,0.885209506633788,0.424010154109896,0.768151906920566,0.517318301366527,0.45539022078884,0.662967948645991,0.339422444068055,0.576632799358629,0.717812333508403,0.721602491142836,0.60275801323984
predict_rank2,0.309585167944659,0.367234583731754,0.340580872464805,0.133916972524697,0.410688217521413,0.336317775948792,0.319682159259871,0.35962621146899,0.356773359169881,0.114790493366212,0.414487280122256,0.175370520284661,0.248784544916373,0.344067467124316,0.272468880072689,0.286525212693413,0.229114615093959,0.182408905468532,0.278397508857164,0.247950708949614
predict_rank3,0.303400702053237,0.0888788947288849,0.285498033452034,0.093932231230751,0.108050985368639,0.140269600342214,0.177328105708396,0.212079578156839,0.210990895776076,0,0.130392260605288,0.0564775727947729,0.188152594722395,0.100295159027869,0.0645631712813205,0.206133509966025,0.122457863533807,0.0698374389670957,0,0.113389584435439
predict_rank4,0,0,0,0,0.0522141956468312,0,0.106785062969825,0.0608495981205026,0.0686903366484269,0,0.0311103051625602,0,0.0457445589947055,0.100247153058975,0,0.167918833272506,0.0717947220136044,0.0299413220559694,0,0.035901693375107
predict_rank5,0,1.11022302462516e-16,0,0,7.7715611723761e-16,-8.88178419700125e-16,9.99200722162641e-16,-6.66133814775094e-16,-8.88178419700125e-16,0,-2.22044604925031e-16,1.11022302462516e-16,-4.44089209850063e-16,0,-4.44089209850063e-16,9.99200722162641e-16,6.66133814775094e-16,0,0,0
