C1_WGSerr_r0,C2_WGSerr_r0,C3_WGSerr_r0,C4_WGSerr_r0,C5_WGSerr_r0,C6_WGSerr_r0,C7_WGSerr_r0,C8_WGSerr_r0,C9_WGSerr_r0,C10_WGSerr_r0,C11_WGSerr_r0,C12_WGSerr_r0,C13_WGSerr_r0,C14_WGSerr_r0,C15_WGSerr_r0,C16_WGSerr_r0,C17_WGSerr_r0,C18_WGSerr_r0,C19_WGSerr_r0,C20_WGSerr_r0
bench_GCA_str1,0.35,0.45,0.25,0.35,0.3,0.25,0.3,0.3,0.3,0.45,0.35,0.35,0.25,0.3,0.3,0.25,0.25,0.25,0.3,0.35
bench_GCA_str2,0.2,0.2,0.2,0.2,0.2,0.25,0.25,0.2,0.2,0.2,0.2,0.35,0.25,0.25,0.25,0.25,0.2,0.25,0.3,0.25
bench_GCA_str3,0.2,0.15,0.15,0.15,0.15,0.2,0.2,0.15,0.2,0.1,0.15,0.1,0.25,0.15,0.25,0.2,0.2,0.25,0.15,0.2
bench_GCA_str4,0.1,0.1,0.15,0.1,0.15,0.2,0.1,0.15,0.1,0.1,0.15,0.1,0.15,0.15,0.1,0.1,0.2,0.1,0.1,0.1
bench_GCA_str5,0.1,0.05,0.15,0.1,0.1,0.05,0.1,0.1,0.1,0.1,0.1,0.05,0.05,0.1,0.05,0.1,0.1,0.1,0.1,0.05
bench_GCA_str6,0.05,0.05,0.1,0.1,0.1,0.05,0.05,0.1,0.1,0.05,0.05,0.05,0.05,0.05,0.05,0.1,0.05,0.05,0.05,0.05
predict_GCA_str1,0.333333,0.401316,0.416667,0.4,0.368421,0.363636,0.361111,0.425,0.352273,0.403509,0.373949,0.381197,0.368421,0.430556,0.373949,0.383333,0.380952,0.380953,0.4,0.351504
predict_GCA_str2,0.266667,0.265351,0.25,0.266667,0.285714,0.280937,0.275253,0.263889,0.272727,0.263158,0.285714,0.307692,0.285714,0.256944,0.285714,0.283334,0.285714,0.285714,0.285714,0.280075
predict_GCA_str3,0.233333,0.208333,0.2,0.2,0.203008,0.201581,0.222222,0.2,0.227273,0.2,0.214286,0.2,0.203008,0.1875,0.214286,0.216667,0.214286,0.214286,0.2,0.219925
predict_GCA_str4,0.166667,0.125,0.133333,0.133333,0.142857,0.153846,0.141414,0.111111,0.147727,0.133333,0.126051,0.111111,0.142857,0.125,0.126051,0.116667,0.119048,0.119047,0.114286,0.148496
predict_GCA_str5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
predict_GCA_str6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
