strain1,strain2,strain3,strain4,GCF_000147455.1_ASM14745v1_genomic,GCF_000147475.1_ASM14747v1_genomic,GCF_000147985.1_ASM14798v1_genomic,GCF_000148065.1_ASM14806v1_genomic,GCF_000148085.1_ASM14808v1_genomic,GCF_000148125.1_ASM14812v1_genomic,GCF_000148205.1_ASM14820v1_genomic,GCF_000148245.1_ASM14824v1_genomic,GCF_000148265.1_ASM14826v1_genomic,GCF_000157275.1_ASM15727v1_genomic,GCF_000157395.1_ASM15739v1_genomic,GCF_000210115.1_ASM21011v1_genomic,GCF_000281195.1_ASM28119v1_genomic,GCF_000294125.1_ASM29412v1_genomic,GCF_000320305.1_ASM32030v1_genomic,GCF_000390505.1_Ente_faec_B15725_V1_genomic,GCF_000390665.1_Ente_faec_182970_V1_genomic,GCF_000390785.1_Ente_faec_7330245.2_V1_genomic,GCF_000392935.1_Ente_faec_RMC5_V1_genomic,GCF_000393015.1_Ente_faec_T5_V1_genomic,GCF_000393035.1_Ente_faec_T9_V1_genomic,GCF_000393155.1_Ente_faec_T19_V1_genomic,GCF_000393195.1_Ente_faec_B.4.111_V1_genomic,GCF_000393275.1_Ente_faec_Com7_V1_genomic,GCF_000393295.1_Ente_faec_TR197_V1_genomic,GCF_000393335.1_Ente_faec_B653_V1_genomic,GCF_000393355.1_Ente_faec_D173_V1_genomic,GCF_000393375.1_Ente_faec_ATCC_6055_V1_genomic,GCF_000394515.1_Ente_faec_UAA702_V1_genomic,GCF_000415005.1_ASM41500v1_genomic,GCF_000415025.1_ASM41502v1_genomic,GCF_000415045.1_ASM41504v1_genomic,GCF_000415125.1_ASM41512v1_genomic,GCF_000415145.1_ASM41514v1_genomic,GCF_000415165.1_ASM41516v1_genomic,GCF_000415185.1_ASM41518v1_genomic,GCF_000415225.1_ASM41522v1_genomic,GCF_000415245.2_ASM41524v2_genomic,GCF_000415325.2_ASM41532v2_genomic,GCF_000415425.2_ASM41542v2_genomic,GCF_000415465.2_ASM41546v2_genomic,GCF_000505585.1_E._faecalis_PF3_draft_genome_genomic,GCF_000519945.1_Ente_faec_B382_V1_genomic,GCF_000648015.1_Ef.FL2.1_genomic,GCF_000648075.1_Ef.KS19.1_genomic,GCF_000648135.1_Ef.MTmid8.1_genomic,GCF_000648155.1_Ef.MTUP9.1_genomic,GCF_000648195.1_Ef.NY9.1_genomic,GCF_000788175.1_ASM78817v1_genomic,GCF_001055955.1_ASM105595v1_genomic,GCF_001057435.1_ASM105743v1_genomic,GCF_001058715.1_ASM105871v1_genomic,GCF_001563075.1_ASM156307v1_genomic,GCF_002006705.1_ASM200670v1_genomic,GCF_002106905.1_ASM210690v1_genomic,GCF_002107005.1_ASM210700v1_genomic,GCF_002107085.1_ASM210708v1_genomic,GCF_002107125.1_ASM210712v1_genomic,GCF_002110325.1_ASM211032v1_genomic,GCF_002141205.1_ASM214120v1_genomic,GCF_002141415.1_ASM214141v1_genomic,GCF_002163735.1_ASM216373v1_genomic,GCF_002220885.1_ASM222088v1_genomic,GCF_002848295.1_ASM284829v1_genomic,GCF_002943875.1_ASM294387v1_genomic,GCF_002944015.1_ASM294401v1_genomic,GCF_002944575.1_ASM294457v1_genomic,GCF_002945015.1_ASM294501v1_genomic,GCF_002945275.1_ASM294527v1_genomic,GCF_002945315.1_ASM294531v1_genomic,GCF_002945535.1_ASM294553v1_genomic,GCF_002945975.1_ASM294597v1_genomic,GCF_002945995.1_ASM294599v1_genomic,GCF_002946755.1_ASM294675v1_genomic,GCF_002946795.1_ASM294679v1_genomic,GCF_002947075.1_ASM294707v1_genomic,GCF_002947835.1_ASM294783v1_genomic,GCF_002949225.1_ASM294922v1_genomic,GCF_003047245.1_ASM304724v1_genomic,GCF_003075125.1_ASM307512v1_genomic,GCF_003075155.1_ASM307515v1_genomic,GCF_003144635.1_ASM314463v1_genomic,GCF_003319595.1_ASM331959v1_genomic,GCF_003319605.1_ASM331960v1_genomic,GCF_003796375.1_ASM379637v1_genomic,GCF_003797725.1_ASM379772v1_genomic,GCF_003962415.1_ASM396241v1_genomic,GCF_003962565.1_ASM396256v1_genomic,GCF_003996795.1_Ca.2_genomic,GCF_004099665.1_ASM409966v1_genomic,GCF_004103075.1_ASM410307v1_genomic,GCF_004103125.1_ASM410312v1_genomic,GCF_004103335.1_ASM410333v1_genomic,GCF_004120305.1_ASM412030v1_genomic,GCF_004120315.1_ASM412031v1_genomic,GCF_004126245.1_ASM412624v1_genomic,GCF_004126315.1_ASM412631v1_genomic,GCF_004126365.1_ASM412636v1_genomic,GCF_004332015.1_ASM433201v1_genomic,GCF_004332035.1_ASM433203v1_genomic,GCF_006538865.1_ASM653886v1_genomic,GCF_006541085.1_ASM654108v1_genomic,GCF_006541255.1_ASM654125v1_genomic,GCF_006541525.1_ASM654152v1_genomic,GCF_006541755.1_ASM654175v1_genomic,GCF_006541855.1_ASM654185v1_genomic,GCF_006541885.1_ASM654188v1_genomic,GCF_006541905.1_ASM654190v1_genomic,GCF_008082935.1_ASM808293v1_genomic,GCF_009659875.1_ASM965987v1_genomic,GCF_009735115.1_ASM973511v1_genomic,GCF_009832415.1_ASM983241v1_genomic,GCF_009832635.1_ASM983263v1_genomic,GCF_011009735.1_ASM1100973v1_genomic,GCF_012935445.1_ASM1293544v1_genomic,GCF_013248605.1_ASM1324860v1_genomic,GCF_013248725.1_ASM1324872v1_genomic,GCF_013265915.1_ASM1326591v1_genomic,GCF_900447705.1_44310_C02_genomic,GCF_900447855.1_44310_B02_genomic,GCF_900683495.1_42042_H02_genomic,GCF_902158795.1_25426_7_4_genomic,GCF_902158825.1_25426_7_9_genomic,GCF_902159055.1_25426_7_29_genomic,GCF_902159115.1_25426_7_40_genomic,GCF_902159495.1_25426_7_79_genomic,GCF_902160495.1_25426_7_181_genomic,GCF_902161375.1_25426_7_276_genomic,GCF_902161695.1_25426_7_312_genomic,GCF_902163015.1_25964_2_73_genomic,GCF_902163165.1_25964_2_90_genomic,GCF_902163355.1_25964_2_116_genomic,GCF_902164015.1_25964_2_191_genomic,GCF_902164035.1_25964_2_197_genomic,GCF_902164385.1_25964_2_227_genomic,GCF_902164845.1_25964_2_264_genomic
g000003,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
g000004,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
g000005,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
g000007,1,0,0,1,1,0,0,1,1,0,1,0,0,1,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,1,0,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1
g000008,1,0,1,1,1,0,1,1,1,0,1,0,0,1,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,1,0,1,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1
g000011,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
g000013,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
g000015,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
g000017,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,0,1,1,1,0,1,1,0,1,1,1,1,1,1,1,0,0,1,0,1,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,0,1,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,0,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1
g000018,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
